id,text
"QCL SOLUTIONS, LLC","QCL SOLUTIONS, LLC LLC GA 805 HOLLY RIDGE CANTON 30115  GA 805 HOLLY RIDGE CANTON 30115 12074858 N "
RAREBARB LLC,RAREBARB LLC LLC NC 3510 STERLING MAGNOLIA CT.N 205 CHARLOTTE 28211      2162953 N 
"READY?, LLC","READY?, LLC LLC NY 122 WESTBOURNE LANE APT. 1224 ITHACA 14850      2823270 N "
ST CHOICE HOME IMPROVEMENT,ST CHOICE HOME IMPROVEMENT DBA OH       GROVEPORT  4530059 N 
UNA MAS  INC,UNA MAS  INC CORPORATION NC 1337 EAST DIXIE DRIVE SUITE D ASHEBORO 27203  NC 1337 EAST DIXIE DRIVE SUITE D ASHEBORO 27203 2079973 N 
"WALKOBSERVATION, LLC","WALKOBSERVATION, LLC LLC OR     OR 3594 SE BENTLEY ST HILLSBORO 97123 89308499 N "
WELLDONE PRODUCTION INC.,"WELLDONE PRODUCTION INC. CORPORATION CA 1203 BEVERLY GREEN DR, UNIT 1 BEVERLY HILLS 90212  CA 1203 BEVERLY GREEN DR, UNIT 1 BEVERLY HILLS 90212 C2690772 N "
XIMML LLC,XIMML LLC LLC GA 3379 PEACHTREE RD NE ATLANTA 30326  GA 3379 PEACHTREE RD NE ATLANTA 30326 20089809 N 541512
XIMML LLC,"XIMML LLC LLC IN 6101 NORTH KEYSTONE, 100 #1099 INDIANAPOLIS 46220  IN 6101 NORTH KEYSTONE, 100 #1099 INDIANAPOLIS 46220 202103221473045 N "
YADEMAG LLC,YADEMAG LLC LLC FL 15209 KESTRELRISE DRIVE LITHIA 33547  FL 15209 KESTRELRISE DRIVE LITHIA 33547 L20000103378 N 
 E TEA DISTRIBUTORS," E TEA DISTRIBUTORS LLC"""" LLC NY ATTN: A. R. SAMI 309 WEST 136 STREET NEW YORK  10030     3688831 N"
 1ST FAMILY CARE  LLC, 1ST FAMILY CARE  LLC LLC WA 7116 63RD PL NE MARYSVILLE 98270  WA 7116 63RD PL NE MARYSVILLE 98270 604541944 N 
 16 ENTERPRISES," 16 ENTERPRISES INC."" CORPORATION NY 40 EXCHANGE PL. NEW YORK  10005     144144 N"
 21 BRANDS," 21 BRANDS INC."" CORPORATION NY 28 LIBERTY ST. NEW YORK  10005     45912 N"
 300 BLOCK ASSOCIATION OF WEST 139TH STREET," 300 BLOCK ASSOCIATION OF WEST 139TH STREET INC."" NONPROFIT NY 312 WEST 139 STREET NEW YORK  10030     820973 N"
 575 & COMPANY INC., 575 & COMPANY INC. CORPORATION NY 1650 SYCAMORE AVE SUITE 15 BOHEMIA 11716  NY 1650 SYCAMORE AVE SUITE 15 BOHEMIA 11716 1404604 N 
 A ROOM WITH A VIEW OF LIMA," A ROOM WITH A VIEW OF LIMA LLC"""" CORPORATION OH       KIRTLAND  1194217 N"
 A WORD OF COMFORT MINISTRIES, A WORD OF COMFORT MINISTRIES NONPROFIT CT         1031075 N 
 A BATTERY NCO CLUB," A BATTERY NCO CLUB INC."" NONPROFIT NY AFFAIRS.,LEGAL OFFICE PUBLIC SEC. BLDG STATE CAMPUS  12226     1013309 N"
 ALL TILE COMPANY ," ALL TILE COMPANY  CORPORATION IN 5431 N ARLINGTON AVE. INDIANAPOLIS 46226  IN 9465 COUNSELORS ROW., SUITE 200 INDIANAPOLIS 46240 2002122700173 N "
 ALMAZ JEWELRY & FINE ANTIQUES CORP., ALMAZ JEWELRY & FINE ANTIQUES CORP. CORPORATION NY 211-19 26 AVE BAYSIDE 11360  NY 211-19 26 AVE BAYSIDE 11360 819971 N 
 ALWAY'S STRAPPED , ALWAY'S STRAPPED  CORPORATION PA 231 SPRUCE STREET CANONSBURG    231 SPRUCE STREET CANONSBURG  3963750  
 AMIGOS T.C.S. & PERMITS," AMIGOS T.C.S. & PERMITS LLC"" LLC FL 1695 S FLORIDA MANGO RD WEST PALM BEACH  33406 FL 1695 S FLORIDA MANGO RD STE # 3 WEST PALM BEACH 33406 L17000089173 N"
 AN ANGELS TOUCH PERSONAL CARE LLC , AN ANGELS TOUCH PERSONAL CARE LLC  LLC MO 1212 NE GREEN ST LEES SUMMIT 64086      LC001497296  
 ATELIER DE SERIGRAPHIE EL ART COMMERCIAL," ATELIER DE SERIGRAPHIE EL ART COMMERCIAL LTD."" CORPORATION NY 138 SPRING STREET NEW YORK  10012     1346676 N"
" AZAN' INTERNATIONAL INC.,NONPROFIT,NY,2227 PITKIN AVENUE,BROOKLYN,11207,,,,,1266064,N,,,,,,
 BABE RUTH HOME RUN CONFECTION CORPORATION"," AZAN' INTERNATIONAL INC.,NONPROFIT,NY,2227 PITKIN AVENUE,BROOKLYN,11207,,,,,1266064,N,,,,,,
 BABE RUTH HOME RUN CONFECTION CORPORATION CORPORATION NY 110 WILLIAM ST. NEW YORK 10038      4365 N "
 BIG ONE TRANSPORTATION LLC, BIG ONE TRANSPORTATION LLC LLC CT     CT 187 MARGARET CIRCLE NAUGATUCK 6770 1318270 N 484110
 BLESSED  AFH LLC, BLESSED  AFH LLC LLC WA 1920 143RD PL SW LYNNWOOD 98087  WA 1920 143RD PL SW LYNNWOOD 98087 604578325 N 
 BUBBLES 1926 ROAD HOUSE," BUBBLES 1926 ROAD HOUSE INC."" CORPORATION NY ROUTE 303 BLAUVELT  10913     398612 N"
 C AND H APPLIANCES SALES & SERVICES , C AND H APPLIANCES SALES & SERVICES  CORPORATION PA      757 ST JOHN ST ALLENTOWN  2109989  
 C M SEWING MACHINE COMPANY , C M SEWING MACHINE COMPANY  CORPORATION PA      627 LARCH ST DUNMORE  2109875  
 C CLUB INC., C CLUB INC. NONPROFIT NY PUB. SECURITY BLDG #22 STATE CAMPUS 12226      1052778 N 
 CAMPUS CAKES , CAMPUS CAKES  CORPORATION PA         2111521  
 CARING LOVE  AFH LLC, CARING LOVE  AFH LLC LLC WA 4010 192ND ST SW LYNNWOOD 98036  WA 4010 192ND ST SW LYNNWOOD 98036 604616362 N 
 CHARLES ENGELHARDINC., CHARLES ENGELHARDINC. CORPORATION NY 30 CHURCH ST. NEW YORK 10007      4145 N 
 COSMOPOLITAN SHIPPING COMPANY," COSMOPOLITAN SHIPPING COMPANY INC."""" CORPORATION NY 42 BROADWAY NEW YORK       3561 N"
 CREDIT MEDICS , CREDIT MEDICS  CORPORATION PA 6632 TACKAWANNA STREET PHILADELPHIA    7114 RISING SUN AVENUE PHILADELPHIA  4210806  
 CROWDFLUTTR  OR  CROWDFLUTTR LLC , CROWDFLUTTR  OR  CROWDFLUTTR LLC  LLC PA      2100 WALNUT STREET 10-E PHILADELPHIA  4321766  
 D  HANDYMAN INC, D  HANDYMAN INC CORPORATION FL 2018 NW 38TH TERRACE LAUDERDALE LAKES 33311  FL 2018 NW 38TH TERRACE LAUDERDALE LAKES 33311 P13000053033 N 
 DANNY LOVES THE KIDS INC., DANNY LOVES THE KIDS INC. NONPROFIT FL 8240 SW 45TH ST MIAMI 33155  FL 8240 SW 45 TH ST MIAMI 33155 N20000010132 N 
 DIACON," DIACON INC. """" CORPORATION OH     OH  HAMILTON  669801 N"
 DOM POLSKI TRANSFER CO.," DOM POLSKI TRANSFER CO. INC."""" CORPORATION NY 20 GREENWICH ST. NEW YORK  10004     3377 N"
 DOMINION TOBACCO COMPANY OF U. S. A., DOMINION TOBACCO COMPANY OF U. S. A. CORPORATION NY 70 WASHINGTON ST. BROOKLYN 11201      3382 N 
 E.J. THE D.J.," E.J. THE D.J. INC."""" CORPORATION NY 60 BRIDGE ROAD ISLANDIA  11749 NY 60 BRIDGE ROAD ISLANDIA 11749 1034592 N"
 EL ORIGINAL  READING LATIN JEEP CLUB, EL ORIGINAL  READING LATIN JEEP CLUB NONPROFIT PA 1319 CHURCH STREET READING    550 NORTH 12TH STREET READING  4000845  
 EVVY CULTURAL INTERCHANGE," EVVY CULTURAL INTERCHANGE INCORPORATED"" NONPROFIT NY 251 EAST 29TH ST. LOBBY B BROOKLYN  11226     871650 N"
 EZ  DRIVING SCHOOL LLC, EZ  DRIVING SCHOOL LLC LLC FL 60 NE 14TH STREET MIAMI 33132  FL 60 NE 14TH STREET 2305 MIAMI 33132 L21000212163 N 
 FOR ARTSAKE DANCERS," FOR ARTSAKE DANCERS INC."" NONPROFIT NY 400 LAFAYETTE ST. NEW YORK  10003     778730 N"
 FRESHTOOTHETEE  DREADS," FRESHTOOTHETEE  DREADS BRAIDS & MORE LLC"" CORPORATION OH       CINCINNATI  4592121"
 G  TRUCKING LLC, G  TRUCKING LLC LLC MS      575 SMITH AVENUE ROAD   1043053 N 
 H , H  CORPORATION PA      2061-63 CHELTEN AVE PHILADELPHIA  2238879  
 HAIR BELOW, HAIR BELOW CORPORATION PA 624 RED FOX LANE EASTON    624 RED FOX LANE EASTON  4069506  
 HALL'S PUMP & WELL," HALL'S PUMP & WELL INC."""" CORPORATION FL 904 NW MAIN BLVD. LAKE CITY  32055 FL 904 NW MAIN BLVD LAKE CITY 32055 P98000049390 N"
 HOPE & HARMONY  AFH LLC, HOPE & HARMONY  AFH LLC LLC WA 2423 123RD ST SE EVERETT 98208  WA PO BOX 257 OLYMPIA 98507 604581220 N 
 I CAN FIX THAT ' HANDYMAN SERVICES," I CAN FIX THAT ' HANDYMAN SERVICES LLC"" LLC WV 7676 SOUTH CALHOUN HWY MOUNT ZION  26151 WV 7676 SOUTH CALHOUN HWY MOUNT ZION 26151 470716 N"
 ICY GIRL," ICY GIRL LLC """" LLC NY 2929 LACONIA AVENUE BRONX  10469     5412906 N"
 IT'S ALL ABOUT UR TIME , IT'S ALL ABOUT UR TIME  CORPORATION PA PO BOX 746 HAMLIN    1121 TRESSLERVILLE ROAD LAKE ARIEL  3831911  
 J'EAT ?, J'EAT ? DBA OH       CINCINNATI  4715441 N 
 JESUS IN THE BLESSED SACRAMENT PADRE PIO PRAYER GROUP," JESUS IN THE BLESSED SACRAMENT PADRE PIO PRAYER GROUP INC."" NONPROFIT NY 1758-72ND STREET BROOKLYN  11204     900988 N"
 JUST HARRIET," JUST HARRIET INC."" CORPORATION NY 8604 23RD AVE. BROOKLYN  11214     254805 N"
 K N M 'S ENTERPRISE LLC , K N M 'S ENTERPRISE LLC  CORPORATION OH       CANTON  4722898 N 
 K LINE AMERICA," K LINE AMERICA INC."" CORPORATION VA 4860 COX ROAD STE 300 GLEN ALLEN  23060 VA 4860 COX ROAD STE 300 GLEN ALLEN 23060 1437849 N"
 KADMOS SHIPPING - TOURISTIC - HOTEL - TRANSPORTATION ENTERPRISES S.A.," KADMOS SHIPPING - TOURISTIC - HOTEL - TRANSPORTATION ENTERPRISES S.A. CORPORATION NY ERPRISES 1650 BROADWAY, SUITE 806 NEW YORK 10019      389467 N "
 LA PEQUENA CARNICERIA CORP., LA PEQUENA CARNICERIA CORP. CORPORATION NY 400 FIFTH AVE. BROOKLYN 11215      1092856 N 
 LAMBERT HOISTING ENGINE COMPANY, LAMBERT HOISTING ENGINE COMPANY CORPORATION NY 30 CHURCH ST. ROOM 519 NEW YORK 10007      4186 N 
 LAUGHING SPIRIT STUDIO, LAUGHING SPIRIT STUDIO CORPORATION PA      622 GROVE STREET GREENSBURG 15601 3337135  
 LIL PLAYHOUSE DAYCARE, LIL PLAYHOUSE DAYCARE DBA OH       VAN WERT  1291514 N 
 LISTEN HERE: A CABLE TV SHOW INC., LISTEN HERE: A CABLE TV SHOW INC. CORPORATION NY 120-39 198TH STREET ST ALBANS 11412      1254164 N 
 M PRODUCTIONS," M PRODUCTIONS INC."" CORPORATION NY 477 MADISON AVE. NEW YORK  10022     326134 N"
 MANDY THE BEECHARMER  L.L.C., MANDY THE BEECHARMER  L.L.C. LLC PA      793 ROUTE 314 SWIFTWATER  4325936  
 MANGOS LIGHTHOUSE INC., MANGOS LIGHTHOUSE INC. CORPORATION NY 39-61 61ST STREET WOODSIDE 11377  NY 61-15 43RD AVENUE 2D WOODSIDE 11377 3378330 N 
 MBCS COMPANY," MBCS COMPANY L.L.C """" LLC FL 8205 SANDPIPER WAY WEST PALM BEACH  33412 FL 855 MARINA DEL RAY LN WEST PALM BEACH 33401 L17000077243 N"
 MEAT WORLD TOMASELLI & SON," MEAT WORLD TOMASELLI & SON INC."" CORPORATION NY 75 SPIRAL ROAD HOLTSVILLE  11742     350895 N"
 MEMORIES IN MELODY ENTERPRISES," MEMORIES IN MELODY ENTERPRISES INC."" CORPORATION NY 17 ORCHARD ROAD EAST PATCHOGUE  11772 NY 17 ORCHARD ROAD EAST PATCHOGUE 11772 794829 N"
 MENA BUENO GROUP. LLC., MENA BUENO GROUP. LLC. LLC PA      105 ALISON RD APT A-4 HORSHAM  4321760  
 MN ENDO LLC., MN ENDO LLC. LLC FL 3736 NW 129TH DR. GAINESVILLE 32606  FL 3736 NW 129TH DR. GAINESVILLE 32606 L18000210820 N 
 MY CHURCH  J INC., MY CHURCH  J INC. NONPROFIT GA 179 SOUTH STREET CUTHBERT 39840  GA 179 SOUTH STREET CUTHBERT 39840 21156072 N 
 MY SOFTBALL TRAINING , MY SOFTBALL TRAINING  CORPORATION PA 662 DITZ DR MANHEIM    662 DITZ DR MANHEIM  3949785  
 OUR FALLEN HOMELESS HEROES - CALIFORNIA," OUR FALLEN HOMELESS HEROES - CALIFORNIA CORPORATION CA 8726 S SEPULVEDA BLVD, BUILDING D STE 5227 LOS ANGELES 90045  CA 8726 S SEPULVEDA BLVD, BUILDING D STE 5227 LOS ANGELES 90045 C4736919 N "
 OVER-THE-HILLFARM," OVER-THE-HILLFARM INC."" CORPORATION NY OLD PUTNAM LAKE ROAD BREWSTER  10509 NY OLD PUTNAM LAKE ROAD, RD #3 BREWSTER 10509 1241760 N"
 PANAGIA SOUMELA PONTION AMERIKIS, PANAGIA SOUMELA PONTION AMERIKIS NONPROFIT NY 228 8TH AVE. NEW YORK 10011      835972 N 
 PESTERA  - ROMANIAN MINORITY CLUB," PESTERA  - ROMANIAN MINORITY CLUB INC."" NONPROFIT NY 48-04 43RD AVENUE SUNNYSIDE  11104     1782391 N"
 PIRATES TRUCKING LIMITED LIABILITY COMPANY , PIRATES TRUCKING LIMITED LIABILITY COMPANY  CORPORATION OH       DOYLESTOWN  4291823 N 
 PITSTOP  AUTO REPAIR & SERVICES, PITSTOP  AUTO REPAIR & SERVICES LLC CO 1647 HIGHWAY 91 LEADVILLE 80461  CO 1647 HIGHWAY 91 LEADVILLLE 80461 20201770290 N 
 POINT AFTER ENTERPRISES," POINT AFTER ENTERPRISES INC."" CORPORATION NY 1549 CENTRAL AVE. ALBANY  12205     352728 N"
 RED SQUARE PAINTING & DESIGN ," RED SQUARE PAINTING & DESIGN  LLC"",LLC,FL,93 SILVER OAKS CIR.,NAPLES,34119,FL,93 SILVER OAKS CIR. #3102,NAPLES,34119,L07000078689,N,,,,,,
"" RIPEN WITH US CHILD CARE CENTER INC."" NONPROFIT NY 786 KENMORE AVENUE  BUFFALO 14216     470551"
" RSK HOLDINGS LLC,LLC,PA,,,,,701 RT 309,DALLAS,18612,3334663,,,,,,,
 SALON DE PARIE "," RSK HOLDINGS LLC,LLC,PA,,,,,701 RT 309,DALLAS,18612,3334663,,,,,,,
 SALON DE PARIE  CORPORATION PA      1900 E STATE ST SHARON  2469459  "
 SCREENPLAYS PRODUCTIONS," SCREENPLAYS PRODUCTIONS INC."""" CORPORATION NY GOTHAM NAT'L BK. BLDG. NEW YORK       4016 N"
 SPECIAL INTERNATIONAL SUPPLIERS CORP., SPECIAL INTERNATIONAL SUPPLIERS CORP. CORPORATION FL 11030 SW 128 ST MIAMI 33176  FL 11030 SW 128 ST MIAMI 33176 P05000111060 N 
 TALLER YUMURI MACHINE SHOP INC. , TALLER YUMURI MACHINE SHOP INC.  CORPORATION FL 10441 NW 133RD ST HIALEAH GARDEN 33018  FL 3890 NW 132ND ST BAY I OPA LOCKA 33054 P06000048781 N 
 TELEX RUSSIAN EDUCATIONAL BOOKS," TELEX RUSSIAN EDUCATIONAL BOOKS INC."" NONPROFIT NY BOOKS, INC. 350 WEST 31 ST. NEW YORK  10001     875502 N"
 THE LOCK BOX LADY , THE LOCK BOX LADY  DBA OH       WILLOUGHBY  4647473 N 
 THE PHARMACIST LLC , THE PHARMACIST LLC  LLC MO 9737 PERCH DR. SAINT LOUIS 63136      LC001657628  
 TOP QUALITY CLUB LLC , TOP QUALITY CLUB LLC  CORPORATION OH       LORAIN  4741142 N 
 TRENDZ OF TIME  HAIR DESIGNS BY PAM, TRENDZ OF TIME  HAIR DESIGNS BY PAM CORPORATION PA 120 WEST CHURCH STREET / PO BOX 107 CENTRE HALL    101 EAST POTTER STREET PO BOX 107 CENTRE HALL  4085656  
 VINE CAFE, VINE CAFE CORPORATION PA 180 CENTER ST CARBONDALE    431 LACKAWANNA AVE SCRANTON  4329715  
 VITEC CONSULTING GROUP," VITEC CONSULTING GROUP INCORPORATED."""" CORPORATION FL 7207 NW 76TH CT TAMARAC  33321 FL 4620 W COMMERCIAL BLVD TAMARAC 33319 P05000011699 N"
 WE THE PEOPLE ARMORY LLC, WE THE PEOPLE ARMORY LLC LLC WA 563 SHANKLIN RD ONALASKA 98570  WA 563 SHANKLIN RD ONALASKA 98570 604522625 N 
 WELDONE FAMILY LAUNDRY," WELDONE FAMILY LAUNDRY INCORPORATED"" CORPORATION NY 1152 TAYLOR AVE. UTICA  13501     11464 N"
 WITNESS IN WRITING  MINISTRY CORPORATION," WITNESS IN WRITING  MINISTRY CORPORATION NONPROFIT IN 7399 N SHADELAND AVE #260, SUITE 260 INDIANAPOLIS 46250  IN 7399 N SHADELAND AVE, SUITE #260 INDIANAPOLIS 46250 2001053000796 N "
 YOUR TELEPHONE SERVICE," YOUR TELEPHONE SERVICE INC."" CORPORATION NY 1881 BRUCE LANE GRAND ISLAND  14072 NY 1881 BRUCE LANE GRAND ISLAND 14072 886173 N"
 Z CAR RENTING AGENCY.," Z CAR RENTING AGENCY. INC."" CORPORATION NY 22-74 31ST AVE. ASTORIA  11106     374592 N"
 THE ROOFER DIRECT  LLC," THE ROOFER DIRECT  LLC LLC GA 300 COLONIAL CENTER PARKWAY, STE 100N ROSWELL 30076  GA 102 TALL PINES DRIVE JACKSON 30233 9032411 N "
KUZZINS BAR AND LOUNGE LLC,KUZZINS BAR AND LOUNGE LLC LLC GA 105 HEMLOCK ST. SUMMERVILLE 30747  GA 220 BRIARWOOD CIRCLE SUMMERVILLE 30747 12023107 N 
THE ROOFER DIRECT LLC,"THE ROOFER DIRECT LLC LLC IN 117 BROADWAY, SUITE 100, CHESTERTON, IN 46304 CHESTERTON 46304  GA 102 TALL PINES DRIVE JACKSON 30233 2012073100592 N "
1 CLEANING,"1 CLEANING LLC"" LLC FL 3440 W HOLLYWOOD BLVD. SUITE 415 HOLLYWOOD  33021 FL 5228 COLLINS DRIVE PANAMA CITY 32404 L17000009942 N"
(HOLY TRINITY) PARISH OF THE ORTHODOX CHURCH IN AMERICA,(HOLY TRINITY) PARISH OF THE ORTHODOX CHURCH IN AMERICA NONPROFIT OH     OH  PARMA  324443 N 
... IN THE AIR CANDLE CO.,"... IN THE AIR CANDLE CO. LTD."" CORPORATION OH       POWELL  4664355 N"
1 SMART TRAVELER VENDING,"1 SMART TRAVELER VENDING INC."" CORPORATION FL 820 SW TULIP BLVD PORT ST LUCIE  34953 FL 820 SW TULIP BLVD PORT ST LUCIE 34953 P96000079505 N"
10-10 EXPRESS TOW & AUTO RECYCLE LIMITED,10-10 EXPRESS TOW & AUTO RECYCLE LIMITED CORPORATION OR     OR PO BOX 6224 15855 HIGHWAY 101 SOUTH BROOKINGS 97415 51853894 N 
1040 BOOKKEEPING STORE,1040 BOOKKEEPING STORE LLC IN 5901 E. 38TH STREET INDIANAPOLIS 46218  IN 5901 E. 38TH STREET INDIANAPOLIS 46218 2011071100179 N 
